Puesto Institucional,Grado jerarquico o escala al que pertenece el puesto,Remuneracion mensual unificada,Remuneracion unificada (anual),Decimo Tercera Remuneracion,Decima Cuarta Remuneracion,Horas suplementarias y extraordinarias,Encargos y subrogaciones,Total ingresos adicionales
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,578,6936,48.17,31.25,0,437,516.42
TÉCNICO ELÉCTRICO,3,1156,13872,96.33,31.25,0,0,127.58
OPERADOR DE ISLA ( E ),3,465,5580,44.08,31.25,63.94,550,689.27
INGENIERO DE SOPORTE DE CONFIABILIDAD ( E ),4,885,10620,73.75,31.25,0,614,719
INGENIERO DE INTEGRIDAD MECÁNICA ( E ),5,510,6120,42.5,31.25,0,1705,1778.75
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
ASISTENTE ADMINISTRATIVO  ( S ),2,796,9552,66.33,31.25,0,700,797.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,70.34,31.25,48.1,0,149.69
OPERADOR DE ISLA ( E ),3,531,6372,51.35,31.25,85.18,484,651.78
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE PRODUCCIÓN,1,1334,16008,111.17,31.25,0,0,142.42
AYUDANTE DE ALMACÉN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
TÉCNICO ELÉCTRICO (LÍNEAS),3,573.81,6885.72,47.82,31.25,0,0,79.07
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE PRODUCCIÓN,1,1087,13044,105.11,31.25,174.38,0,310.74
OPERADOR DE EQUIPO PESADO ( E ),3,465,5580,38.75,31.25,0,550,620
OPERADOR DE PLANTA ( E ),3,1087,13044,94.74,31.25,49.83,0,175.82
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE ISLA,3,1770.11,21241.32,168.25,31.25,248.93,0,448.43
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
GERENTE DE ACTIVO ( E ),7,6100,73200,508.33,31.25,0,72,611.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
SUPERVISOR MECÁNICO ( E ),5,1204,14448,103.68,31.25,40.13,1011,1186.06
INGENIERO DE AUTOMATIZACIÓN ( E ),5,1861,22332,155.08,31.25,0,354,540.33
SUPERVISOR DE CONSTRUCCIONES ( E ),5,2193.16,26317.92,182.76,31.25,0,759.84,973.85
ANALISTA ADMINISTRATIVA,3,3444.61,41335.32,287.05,31.25,0,0,318.3
TÉCNICO RODA ( E ),3,465,5580,41.86,31.25,37.3,550,660.41
OPERADOR DE EQUIPO,3,1597,19164,133.08,31.25,0,0,164.33
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
ESPECIALISTA EN REPARACIÓN ( E ),4,1597,19164,133.08,31.25,0,402,566.33
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
TÉCNICO ELÉCTRICO DE AIRE ACONDICIONADO,3,573.81,6885.72,49.01,31.25,14.35,0,94.61
TÉCNICO MECÁNICO ( E ),3,574,6888,47.83,31.25,0,441,520.08
TÉCNICO ELÉCTRICO ( E ),3,465,5580,39.47,31.25,8.67,550,629.39
CAPATAZ DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
CAPATAZ DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,1087,13044,99.92,31.25,112.1,0,243.27
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
FISCALIZADOR RODA ( E ),5,2091.47,25097.64,206.24,31.25,383.44,123.53,744.46
ANALISTA DE TI,3,2229,26748,185.75,31.25,0,0,217
TÉCNICO ELÉCTRICO (LÍNEAS) ( E ),3,465,5580,38.75,31.25,0,550,620
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
TÉCNICO DE INTEGRIDAD MECÁNICA,3,607,7284,50.58,31.25,0,0,81.83
SUPERVISOR CSLB,5,2470,29640,205.83,31.25,0,0,237.08
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
OPERADOR DE PLANTA ( E ),3,1087,13044,90.58,31.25,0,0,121.83
TÉCNICO INSTRUMENTISTA,3,578,6936,48.17,31.25,0,0,79.42
INGENIERO DE CONFIABILIDAD ( E ),5,913,10956,76.08,31.25,0,1302,1409.33
INGENIERO DE LEVANTAMIENTO ARTIFICIAL,5,2599,31188,216.58,31.25,0,0,247.83
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
OPERADOR DE AUTOBOMBA,2,1204,14448,100.33,31.25,0,0,131.58
OPERADOR DE ISLA,3,1334,16008,111.17,31.25,0,0,142.42
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
TÉCNICO ELÉCTRICO OVERHAUL ( E ),3,465,5580,38.75,31.25,0,550,620
TÉCNICO ELÉCTRICO ( E ),3,465,5580,38.75,31.25,0,550,620
OPERADOR ELÉCTRICO,3,573.81,6885.72,201.6,31.25,387.92,0,620.77
AYUDANTE DE CONSTRUCCIONES,1,1087,13044,93.4,31.25,33.86,0,158.51
COORDINADOR DE CONTROL DE COSTOS,5,2599,31188,216.58,31.25,0,0,247.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
COORDINADOR DE REACONDICIONAMIENTO,5,2736,32832,228,31.25,0,0,259.25
ASISTENTE DE ARCHIVO,2,795,9540,66.25,31.25,0,0,97.5
FISCALIZADOR RODA,5,2736,32832,349.6,31.25,1459.2,0,1840.05
OPERADOR DE ISLA,3,1334,16008,111.17,31.25,0,0,142.42
INGENIERO DE SOPORTE DE AUTOMATIZACIÓN,4,1886,22632,157.17,31.25,0,0,188.42
TÉCNICO DE CONSTRUCCIONES,3,1334,16008,111.17,31.25,0,0,142.42
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE ISLA,3,1334,16008,131.55,31.25,244.57,0,407.37
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE PLANTA DE GENERACIÓN PATIO,3,2415.12,28981.44,201.26,31.25,0,0,232.51
ANALISTA DE CONTRATOS DE SERVICIOS LOGÍSTICOS,3,1597,19164,133.08,31.25,0,0,164.33
INGENIERO DE SOPORTE DE CONFIABILIDAD ( E ),4,885,10620,73.75,31.25,0,614,719
INGENIERO DE CONFIABILIDAD ( E ),5,885,10620,73.75,31.25,0,1330,1435
SUPERVISOR DE PRODUCCIÓN,5,2736,32832,266,31.25,456,0,753.25
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
TÉCNICO LÍDER AUTOMOTRIZ ( E ),4,2369.02,28428.24,197.42,31.25,0,0,228.67
AYUDANTE PAV,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
INGENIERO DE SOPORTE DE CONFIABILIDAD ( E ),4,513,6156,42.75,31.25,0,986,1060
OPERADOR DE PLANTA,3,1334,16008,111.17,31.25,0,0,142.42
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
OPERADOR DE EQUIPO ( E ),3,796,9552,66.33,31.25,0,219,316.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
TÉCNICO DE INTEGRIDAD MECÁNICA ( E ),3,465,5580,38.75,31.25,0,550,620
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
TÉCNICO RODA,3,1334,16008,122.63,31.25,137.57,0,291.45
OPERADOR DE PLANTA DE GENERACIÓN,3,573.81,6885.72,51.65,31.25,46.02,0,128.92
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
ASISTENTE DE SEGURIDAD Y AMBIENTE  ( S ),2,796,9552,66.33,31.25,0,304,401.58
OPERADOR DE PLANTA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE ISLA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE PRODUCCIÓN,1,465,5580,38.75,31.25,0,0,70
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN ( E ),3,465,5580,38.75,31.25,0,560,630
AYUDANTE DE CONSTRUCCIONES,1,1087,13044,90.58,31.25,0,0,121.83
INGENIERO DE OPERACIONES,5,3739.53,44874.36,311.63,31.25,0,0,342.88
OPERADOR DE ISLA ( E ),3,1087,13044,90.58,31.25,0,0,121.83
JEFE DE CONTRATOS ESPECIALES,6,6200,74400,516.67,31.25,0,0,547.92
ADMINISTRADOR DE CAMPO,4,2599,31188,216.58,31.25,0,0,247.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,67.58,31.25,14.93,0,113.76
SUPERVISOR DE INSTRUMENTACIÓN,5,3360,40320,280,31.25,0,0,311.25
TÉCNICO MECÁNICO ( E ),3,885,10620,73.75,31.25,0,130,235
SUPERVISOR TI,5,2969.28,35631.36,247.44,31.25,0,0,278.69
ASISTENTE ADMINISTRATIVA,2,2266.49,27197.88,188.87,31.25,0,0,220.12
AYUDANTE DE ALMACÉN,1,796,9552,66.33,31.25,0,0,97.58
ASISTENTE DE LITOTECA Y CINTOTECA,2,2426.45,29117.4,202.2,31.25,0,0,233.45
GERENTE DE ACTIVO,7,6200,74400,516.67,31.25,0,0,547.92
INGENIERO DE OPERACIONES ( E ),5,2599,31188,216.58,31.25,0,-133.67,114.16
INGENIERO DE AUTOMATIZACIÓN,5,3739.53,44874.36,311.63,31.25,0,0,342.88
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,465,5580,44.97,31.25,74.6,550,700.82
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
OPERADOR DE ISLA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
ASISTENTE DE CONTROL DE FACTURACIÓN,2,795,9540,66.25,31.25,0,0,97.5
OPERADOR DE PLANTA,3,1334,16008,122.63,31.25,137.58,0,291.46
OPERADOR DE PLANTA ( E ),3,1087,13044,96.81,31.25,74.73,0,202.79
COORDINADOR AMBIENTAL,5,2599,31188,216.58,31.25,0,0,247.83
ANALISTA DE CONTROL DE COSTOS,3,2229,26748,185.75,31.25,0,0,217
SUPERINTENDENTE DE MANTENIMIENTO,6,5250,63000,437.5,31.25,0,0,468.75
TÉCNICO INSTRUMENTISTA,3,1354,16248,115.65,31.25,33.85,0,180.75
AYUDANTE DE PRODUCCIÓN,1,531,6372,44.25,31.25,0,0,75.5
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
SUPERVISOR DE REACONDICIONAMIENTO,5,2736,32832,262.2,31.25,410.4,0,703.85
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1874.45,22493.4,156.2,31.25,0,0,187.45
INGENIERO DE SOPORTE DE AUTOMATIZACIÓN ( E ),4,578,6936,48.17,31.25,0,921,1000.42
TÉCNICO INSTRUMENTISTA,3,2422.85,29074.2,201.9,31.25,0,0,233.15
SUPERVISOR MECÁNICO,5,2599,31188,216.58,31.25,0,0,247.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
SUPERVISOR ELÉCTRICO ( E ),5,2599,31188,216.58,31.25,0,0,247.83
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,1087,13044,99.92,31.25,112.1,0,243.27
AYUDANTE DE CONSTRUCCIONES,1,465,5580,39.96,31.25,14.48,0,85.69
OPERADOR DE ISLA,3,1334,16008,118.81,31.25,91.71,0,241.77
AYUDANTE DE PRODUCCIÓN,1,1087,13044,96.81,31.25,74.73,0,202.79
ADMINISTRADOR DE CAMPO ( E ),4,795,9540,66.25,31.25,0,492.8,590.3
SUPERVISOR DE REACONDICIONAMIENTO,5,2736,32832,269.8,31.25,501.6,0,802.65
OPERADOR DE ISLA ( E ),3,1087,13044,95.77,31.25,62.28,0,189.3
AUXILIAR DE SERVICIOS,1,794.85,9538.2,66.24,31.25,0,0,97.49
OPERADOR ELÉCTRICO,3,573.81,6885.72,51.65,31.25,46.02,0,128.92
TÉCNICO DE INTEGRIDAD MECÁNICA,3,611,7332,50.92,31.25,0,0,82.17
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,67.57,31.25,14.84,0,113.66
AYUDANTE DE PRODUCCIÓN,1,531,6372,44.25,31.25,0,0,75.5
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
AYUDANTE DE PRODUCCIÓN,1,1087,13044,105.11,31.25,174.38,0,310.74
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE PRODUCCIÓN,1,1087,13044,110.3,31.25,236.65,0,378.2
OPERADOR DE ISLA,3,1334,16008,121.36,31.25,122.29,0,274.9
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
SUPERVISOR TI,5,2862.52,34350.24,238.54,31.25,0,0,269.79
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ),3,528,6336,44,31.25,0,0,75.25
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN ( E ),3,532,6384,44.33,31.25,0,483,558.58
AYUDANTE DE CONSTRUCCIONES,1,1087,13044,92.28,31.25,20.38,0,143.91
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
SUPERINTENDENTE RODA ( E ),6,3360,40320,280,31.25,0,1001,1312.25
TÉCNICO RODA,3,1334,16008,122.63,31.25,137.57,0,291.45
OPERADOR DE PLANTA,3,1334,16008,122.63,31.25,137.58,0,291.46
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
SUPERINTENDENTE DE CONSTRUCCIONES,6,4361,52332,363.42,31.25,0,0,394.67
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
TÉCNICO ELÉCTRICO PLANTA DE GENERACIÓN ( E ),3,465,5580,39.72,31.25,11.63,550,632.6
TÉCNICO DE SEGURIDAD Y AMBIENTE ( E ),3,796,9552,67.57,31.25,14.84,219,332.66
AYUDANTE DE PRODUCCIÓN,1,885,10620,79.67,31.25,70.98,0,181.9
ESPECIALISTA DE SEGURIDAD Y AMBIENTE ( E ),4,1334,16008,111.17,31.25,0,165,307.42
ASISTENTE DE CONTROL DE DOCUMENTOS ( E ),2,465,5580,38.75,31.25,0,222,292
JEFE DE PERFORACIÓN,6,5000,60000,416.67,31.25,0,0,447.92
OPERADOR DE PLANTA ( E ),3,1087,13044,105.11,31.25,174.38,0,310.74
AYUDANTE DE PRODUCCIÓN,1,1087,13044,100.96,31.25,124.56,0,256.77
OPERADOR DE PLANTA,3,1334,16008,111.17,31.25,0,0,142.42
AYUDANTE DE PRODUCCIÓN,1,885,10620,73.75,31.25,0,0,105
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
ESPECIALISTA DE SEGURIDAD,4,2229,26748,185.75,31.25,0,0,217
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,67.44,31.25,13.27,0,111.96
TÉCNICO MECÁNICO PLANTA DE GENERACIÓN,3,1606.86,19282.32,133.9,31.25,0,0,165.15
TÉCNICO INSTRUMENTISTA ( E ),3,574,6888,47.83,31.25,0,441,520.08
TÉCNICO MECÁNICO ( E ),3,578,6936,48.17,31.25,0,437,516.42
INGENIERO DE GESTIÓN DE ACTIVOS ( E ),5,885,10620,73.75,31.25,0,1330,1435
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
TÉCNICO RODA ( E ),3,1087,13044,117.76,31.25,326.11,247,722.12
AYUDANTE DE PRODUCCIÓN,1,531,6372,44.25,31.25,0,0,75.5
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
FISCALIZADOR RODA,5,2736,32832,281.2,31.25,638.4,0,950.85
SUPERVISOR ELÉCTRICO,5,2599,31188,216.58,31.25,0,0,247.83
OPERADOR DE ISLA,3,1334,16008,120.08,31.25,107,0,258.33
ASISTENTE DE SEGURIDAD Y AMBIENTE  ( S ),2,796,9552,66.33,31.25,0,304,401.58
COORDINADOR DE CONTROL DE COSTOS,5,2860,34320,238.33,31.25,0,0,269.58
SUPERVISOR DE INSTRUMENTACIÓN,5,2599,31188,216.58,31.25,0,0,247.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
TÉCNICO ELÉCTRICO ( E ),3,465,5580,38.75,31.25,0,550,620
OPERADOR DE REFINERÍA ( E ),3,885,10620,79.67,31.25,70.98,130,311.9
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
AYUDANTE DE PRODUCCIÓN,1,1087,13044,103.23,31.25,151.74,0,286.22
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
OPERADOR DE PLANTA,3,1334,16008,129,31.25,214,0,374.25
INGENIERO DE AUTOMATIZACIÓN ( E ),5,574,6888,47.83,31.25,0,1641,1720.08
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
TÉCNICO ELÉCTRICO,3,1334,16008,116.73,31.25,66.71,0,214.69
AYUDANTE DE PRODUCCIÓN,1,1087,13044,103.04,31.25,149.46,0,283.75
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
ANALISTA DE TI,3,1865.02,22380.24,155.42,31.25,0,0,186.67
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE PRODUCCIÓN,1,1087,13044,97.85,31.25,87.19,0,216.29
TÉCNICO MECÁNICO DE OVERHAUL TALLER,3,1204,14448,100.33,31.25,0,0,131.58
INGENIERO DE SOPORTE DE AUTOMATIZACIÓN  ( S ),4,1815,21780,151.25,31.25,0,46,228.5
TÉCNICO INSTRUMENTISTA ( E ),3,513,6156,44.29,31.25,18.44,502,595.98
OPERADOR DE ISLA ( E ),3,528,6336,49.18,31.25,62.15,487,629.58
SUPERVISOR DE PRODUCCIÓN,5,2736,32832,228,31.25,0,0,259.25
AYUDANTE DE PRODUCCIÓN,1,1087,13044,99.92,31.25,112.1,0,243.27
AYUDANTE DE PRODUCCIÓN,1,1087,13044,93.41,31.25,33.97,0,158.63
OPERADOR DE PLANTA DE GENERACIÓN,3,573.81,6885.72,50.56,31.25,32.87,0,114.68
INGENIERO DE SOPORTE DE AUTOMATIZACIÓN ( E ),4,573.81,6885.72,47.82,31.25,0,925.19,1004.26
OPERADOR DE ISLA,3,1334,16008,132.82,31.25,259.86,0,423.93
TÉCNICO ELÉCTRICO,3,573.81,6885.72,48.41,31.25,7.17,0,86.83
OPERADOR DE AUTOBOMBA,2,1204,14448,100.33,31.25,0,0,131.58
ANALISTA ADMINISTRATIVA,3,2017.46,24209.52,168.12,31.25,0,0,199.37
INGENIERO DE OPERACIONES Y COMPLETACIÓN,5,2736,32832,228,31.25,0,0,259.25
OPERADOR DE ISLA ( E ),3,885,10620,78.82,31.25,60.84,130,300.91
AYUDANTE AUTOMOTRIZ,1,885,10620,73.75,31.25,0,0,105
ASISTENTE DE LEVANTAMIENTO ARTIFICIAL ( E ),2,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE SEGURIDAD Y AMBIENTE,1,796,9552,66.33,31.25,0,0,97.58
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,465,5580,42.14,31.25,40.69,550,664.08
BODEGUERO ( E ),2,796,9552,66.33,31.25,0,120,217.58
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
OPERADOR DE PLANTA,3,2108.16,25297.92,175.68,31.25,0,0,206.93
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
COORDINADOR GENERAL DE CONTRATOS ESPECIALES ( E ),6,2229,26748,185.75,31.25,0,1042,1259
INGENIERO DE SOPORTE DE AUTOMATIZACIÓN ( E ),4,578,6936,48.17,31.25,0,921,1000.42
OPERADOR DE ISLA ( E ),3,1087,13044,97.85,31.25,87.19,0,216.29
OPERADOR DE ISLA,3,1789.99,21479.88,173.09,31.25,287.14,0,491.48
ESPECIALISTA DE SEGURIDAD Y AMBIENTE ( E ),4,1733.58,20802.96,144.47,31.25,0,0,175.72
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
TÉCNICO INSTRUMENTISTA,3,1354,16248,112.83,31.25,0,0,144.08
OPERADOR DE ISLA ( E ),3,531,6372,44.25,31.25,0,484,559.5
ENFERMERA/O,3,1815,21780,151.25,31.25,0,0,182.5
SUPERVISOR ELÉCTRICO ( E ),5,1334,16008,111.17,31.25,0,881,1023.42
TÉCNICO DE SEGURIDAD Y AMBIENTE,3,1334,16008,111.17,31.25,0,0,142.42
OPERADOR DE PLANTA DE GENERACIÓN ( E ),3,465,5580,44.08,31.25,63.94,550,689.27
RELACIONADOR COMUNITARIO,2,1429,17148,119.08,31.25,0,0,150.33
AYUDANTE DE MANTENIMIENTO,1,885,10620,77.67,31.25,47.01,0,155.93
AYUDANTE DE REFINERÍA,1,885,10620,79.67,31.25,70.98,0,181.9
AYUDANTE DE CONSTRUCCIONES,1,465,5580,38.75,31.25,0,0,70
ASISTENTE DE SEGURIDAD Y AMBIENTE ( E ),2,796,9552,66.33,31.25,0,91,188.58
OPERADOR DE EQUIPO ( E ),3,796,9552,66.33,31.25,0,219,316.58
ASISTENTE DE CONTRATOS,2,1737.39,20848.68,144.78,31.25,0,0,176.03
SUPERINTENDENTE DE CONSTRUCCIONES,6,4361,52332,363.42,31.25,0,0,394.67
OPERADOR DE ISLA,3,1334,16008,111.17,31.25,0,0,142.42
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
AYUDANTE DE CONSTRUCCIONES,1,885,10620,73.75,31.25,0,0,105
OPERADOR DE ISLA ( E ),3,1087,13044,96.81,31.25,74.74,0,202.8
RELACIONADOR COMUNITARIO,4,2098,25176,174.83,31.25,0,0,206.08
SUPERINTENDENTE DE CONSTRUCCIONES,6,4361,52332,363.42,31.25,0,0,394.67
TÉCNICO ELÉCTRICO (LÍNEAS) ( E ),3,465,5580,39.72,31.25,11.63,550,632.6
AYUDANTE DE MANTENIMIENTO,1,885,10620,73.75,31.25,0,0,105
AYUDANTE DE PRODUCCIÓN,1,1087,13044,90.58,31.25,0,0,121.83
ESPECIALISTA DE APLICACIONES TÉCNICAS,4,2599,31188,219.31,31.25,32.76,0,283.32
TÉCNICO INSTRUMENTISTA ( E ),3,513,6156,42.75,31.25,0,502,576
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
AYUDANTE DE PRODUCCIÓN,1,1087,13044,103.04,31.25,149.47,0,283.76
TÉCNICO RODA ( E ),3,885,10620,109.4,31.25,427.75,130,698.4
TÉCNICO INSTRUMENTISTA PLANTA DE GENERACIÓN,3,2481.61,29779.32,211.97,31.25,62.04,0,305.26
ASISTENTE ADMINISTRATIVA,2,794.85,9538.2,66.24,31.25,0,0,97.49
AYUDANTE DE PRODUCCIÓN,1,2283.59,27403.08,220.83,31.25,366.32,0,618.4
AYUDANTE DE PRODUCCIÓN,1,1087,13044,92.66,31.25,24.91,0,148.82
TÉCNICO DE SEGURIDAD Y AMBIENTE ( E ),3,796,9552,66.33,31.25,0,219,316.58
TÉCNICO RODA,3,1334,16008,129,31.25,214,0,374.25
ASISTENTE DE COACTIVAS,2,796,9552,66.33,31.25,0,0,97.58
AYUDANTE DE MANTENIMIENTO,1,465,5580,38.75,31.25,0,0,70
OPERADOR DE PLANTA,3,1354,16248,121.88,31.25,108.6,0,261.73
SUPERVISOR DE PRODUCCIÓN ( E ),5,2114.25,25371,199.68,31.25,281.9,100.75,613.58
AYUDANTE DE PRODUCCIÓN,1,885,10620,73.75,31.25,0,0,105
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
OPERADOR DE PLANTA,3,1334,16008,120.08,31.25,107,0,258.33
SUPERVISOR DE SEIP ( E ),5,573.81,6885.72,47.82,31.25,0,1641.19,1720.26
